EncoderAtt,DecoderAtt,B,H,lr,Optimizer,Epoch,UnseenCnt,MissedClass,WrongCount,UnseenClass
false,false,4,256,0.001,Rmsprop,20,23,0,0,9
true,false,1,256,0.01,Rmsprop,20,21,0,0,9
true,false,4,256,0.01,Rmsprop,10,27,0,0,9
true,false,2,128,0.01,Rmsprop,10,20,0,0,9
true,false,16,128,0.01,Rmsprop,30,26,0,0,9
true,false,2,128,0.1,SGD,20,18,0,0,9
false,false,8,256,0.001,Adam,10,23,0,1,9
true,false,2,256,0.01,Adam,30,20,0,1,9
true,false,4,256,0.01,Adam,20,23,0,1,9
true,false,4,256,0.01,Rmsprop,20,26,0,1,9
true,false,8,256,0.01,Rmsprop,20,20,0,1,9
true,false,16,256,0.01,Rmsprop,10,18,0,1,9
true,false,8,128,0.01,Adam,20,21,0,1,9
true,false,1,256,0.01,Rmsprop,10,17,0,2,9
true,false,2,256,0.1,SGD,20,25,0,2,9
true,false,4,256,0.1,SGD,30,24,0,2,9
true,false,16,256,0.1,SGD,20,17,0,2,9
true,false,16,256,0.1,SGD,30,26,0,2,9
true,false,8,128,0.01,Rmsprop,20,23,0,2,9
true,false,8,128,0.1,SGD,20,15,0,2,9
true,false,2,256,0.1,SGD,30,24,0,3,9
true,false,4,128,0.01,Rmsprop,10,22,0,3,9
false,false,1,256,0.001,Adam,20,23,0,4,9
false,false,2,256,0.001,Rmsprop,20,22,0,4,9
false,false,2,128,0.001,Rmsprop,30,22,0,4,9
false,false,4,128,0.001,Adam,30,19,0,5,9
true,false,2,256,0.001,Rmsprop,30,23,0,6,9
false,false,16,128,0.001,Adam,30,19,0,6,9
false,false,2,128,0.1,SGD,20,24,0,8,9
false,false,2,256,0.1,SGD,30,23,0,9,9
true,false,16,128,0.1,SGD,10,19,0,9,9
false,false,4,256,0.1,SGD,20,20,0,13,9
true,false,4,256,0.1,SGD,10,23,0,14,9
true,false,16,256,0.1,SGD,10,22,0,14,9
false,false,16,256,0.001,Rmsprop,30,17,0,17,9
true,false,8,256,0.001,Rmsprop,20,21,0,27,9
true,false,1,256,0.01,Adam,10,23,1,0,8
true,false,4,256,0.01,Adam,30,22,1,0,8
true,false,16,256,0.01,Adam,20,21,1,0,8
true,false,16,256,0.01,Adam,30,20,1,0,8
true,false,1,128,0.01,Adam,20,18,1,0,8
true,false,2,128,0.01,Adam,20,17,1,0,8
true,false,4,128,0.01,Adam,20,20,1,0,8
true,false,4,128,0.01,Rmsprop,30,21,1,0,8
true,false,2,128,0.1,SGD,30,21,1,0,8
true,false,1,256,0.01,Rmsprop,30,24,1,1,8
true,false,16,256,0.01,Rmsprop,30,20,1,1,8
false,false,8,128,0.001,Adam,20,22,1,1,8
true,false,8,128,0.01,Adam,10,23,1,1,8
true,false,16,128,0.01,Adam,10,17,1,1,8
true,false,16,128,0.01,Adam,30,20,1,1,8
true,false,8,128,0.01,Rmsprop,30,26,1,1,8
true,false,1,128,0.1,SGD,20,19,1,1,8
true,false,16,256,0.001,Adam,30,21,1,2,8
true,false,8,256,0.01,Adam,20,26,1,2,8
false,false,8,256,0.001,Rmsprop,20,18,1,2,8
true,false,8,256,0.1,SGD,30,21,1,2,8
false,false,1,128,0.001,Rmsprop,20,21,1,2,8
true,false,1,128,0.01,Rmsprop,30,21,1,2,8
true,false,16,128,0.01,Rmsprop,10,21,1,2,8
true,false,4,128,0.1,SGD,20,20,1,2,8
true,false,8,128,0.1,SGD,30,21,1,2,8
true,false,4,256,0.001,Adam,30,20,1,3,8
false,false,16,256,0.001,Rmsprop,10,26,1,3,8
true,false,8,256,0.1,SGD,20,22,1,3,8
true,false,1,128,0.1,Adam,30,11,1,3,8
true,false,1,128,0.1,SGD,30,17,1,3,8
true,false,1,256,0.001,Adam,30,19,1,4,8
true,false,2,256,0.001,Adam,30,23,1,4,8
false,false,4,256,0.001,Adam,20,17,1,4,8
true,false,8,256,0.001,Adam,30,20,1,4,8
true,false,16,256,0.01,Rmsprop,20,28,1,4,8
true,false,8,128,0.01,Rmsprop,10,28,1,4,8
true,false,8,256,0.01,Rmsprop,30,26,1,5,8
